Nome,Email,Cell,Password,Role
Anthony Yago Nascimento,anthony_yago_nascimento@rogerstenis.com.br,(67) 99612-1295,Rrqmss1#,Person
Erick Victor Assis,erick_assis@solviagens.com,(91) 99421-1180,Rrqmss1#,Person
Caleb Pedro Enzo Araújo,caleb_araujo@signa.net.br,(79) 98509-8711,Rrqmss1#,Person
Nelson César Manuel Farias,nelson.cesar.farias@dmarquivo.com.br,(47) 99603-4756,Rrqmss1#,Person
Pedro Paulo Ricardo Duarte,pedro_paulo_duarte@vetech.vet.br,(92) 98343-1659,Rrqmss1#,Person
Juan Carlos Carvalho,juan.carlos.carvalho@msn.com,(71) 99648-4951,Rrqmss1#,Person
Raimundo Sebastião João Barbosa,raimundo_barbosa@elevaconsultancy.com.br,(65) 98978-9529,Rrqmss1#,Person
Severino Severino Iago Rocha,severino-rocha82@bhcervejas.com.br,(67) 98300-0155,Rrqmss1#,Person
Murilo Anderson Souza,murilo.anderson.souza@img.com.br,(98) 98905-7882,Rrqmss1#,Person
Alexandre Luís Santos,alexandre_luis_santos@vegacon.com.br,(83) 99822-6662,Rrqmss1#,Person
Manuel Arthur Augusto Pires,manuel-pires97@danielvasconcelos.com.br,(68) 98347-8345,Rrqmss1#,Person
Nathan Alexandre Diogo dos Santos,nathan_alexandre_dossantos@construtoracostanorte.com.br,(82) 99524-5464,Rrqmss1#,Person
Noah Vinicius Igor Monteiro,noahviniciusmonteiro@cabletech.com.br,(86) 99478-1831,Rrqmss1#,Person
